黦,黑,0
寨,宀,14
飪,饣,0
旬,日,6
腯,月,0
乱,乙,7
濰,氵,0
長,长,0
剹,戈,0
緼,纟,0
饿,饣,10
箍,竹,14
崎,山,11
逐,辶,10
阔,门,12
趙,走,0
漚,氵,0
莝,艹,0
岣,山,0
焦,灬,12
閩,门,0
梫,木,0
溯,氵,13
贮,贝,8
撳,扌,0
茲,艹,0
尸,尸,3
鼺,鼠,0
刼,力,0
皿,皿,5
锾,钅,0
桀,木,0
賃,贝,0
俅,亻,0
湄,氵,0
苇,艹,7
摈,扌,0
寍,宀,0
穌,禾,0
黏,黍,17
凑,冫,11
埕,土,10
癔,疒,0
淙,氵,11
佚,亻,7
孢,子,8
翥,羽,0
鹤,鸟,15
坪,土,8
语,讠,9
浮,氵,10
僻,亻,15
鏽,钅,0
囿,囗,0
鎒,耒,0
沘,氵,0
弥,弓,8
纤,纟,6
鈧,钅,0
璨,王,17
説,讠,0
朵,几,6
蚴,虫,0
紹,纟,0
鲸,鱼,16
銼,钅,0
喾,口,0
襁,衤,17
毂,殳,0
轅,车,0
懆,忄,0
蕉,艹,15
塋,艹,0
柊,木,0
魍,鬼,0
酑,酉,0
呓,口,0
觖,角,0
晟,日,0
壠,土,0
鯢,鱼,0
牧,牜,8
哨,口,10
衫,衤,8
韪,韦,0
櫬,木,0
蹯,足,0
惰,忄,12
葳,艹,0
更,一,7
驷,马,8
糸,糸,0
狼,犭,10
陿,犭,0
梁,木,11
溅,氵,12
窍,穴,10
導,寸,0
划,刂,6
皕,白,0
栖,木,10
渚,氵,0
芝,艹,6
搞,扌,13
颡,页,0
钩,钅,9
榫,木,0
瘪,疒,15
谮,讠,0
鸺,鸟,0
瞿,目,18
鐾,金,0
跃,足,11
仅,亻,4
潄,氵,0
菇,艹,11
效,攵,10
筌,竹,0
僑,亻,0
赘,贝,14
荜,艹,0
婢,女,11
绥,纟,0
镨,钅,0
噪,口,16
諭,讠,0
俯,亻,10
胱,月,10
硶,石,0
击,凵,5
瑾,王,15
侄,亻,8
指,扌,9
肆,聿,13
蚊,虫,10
完,宀,7
缏,纟,0
鲎,鱼,0
冐,冂,0
謗,讠,0
脛,月,0
堡,土,12
鴣,鸟,0
帥,巾,0
群,羊,13
吩,口,7
怱,勹,0
昵,日,9
爽,大,11
櫂,木,0
蹅,足,0
惆,忄,11
葉,口,0
奋,大,8
驍,马,0
遑,辶,0
啓,口,0
狒,犭,0
陕,阝,8
束,木,7
絣,糹,0
忤,忄,0
獧,犭,0
郦,阝,0
嗨,口,13
雪,雨,11
软,车,8
柴,木,10
魷,鱼,0
屹,山,6
剽,刂,0
殁,歹,0
言,言,0
涅,氵,0
谄,讠,10
枉,木,8
禍,礻,0
頌,页,0
玑,王,0
鈐,钅,0
儒,亻,16
疕,疒,0
鐔,钅,0
欖,木,0
辙,车,16
洚,氵,0
膝,月,15
鮡,魚,0
鶥,鸟,0
傧,亻,0
鞩,革,0
檫,木,0
甪,用,0
脲,月,0
常,巾,11
值,亻,10
璿,王,0
霾,雨,22
髋,骨,0
姍,女,0
硌,石,0
鳏,鱼,0
发,又,5
懝,扌,0
篡,竹,0
奢,大,11
緥,衤,0
鱤,魚,0
卦,卜,8
矩,矢,9
陨,阝,9
啪,口,11
潮,氵,15
菱,艹,11
絺,糹,0
哿,口,0
睾,目,0
渃,氵,0
莆,艹,0
程,禾,12
薊,艹,0
簏,竹,0
劐,刂,0
醒,酉,16
咔,口,0
伙,亻,6
溘,氵,0
舛,夕,6
嬡,女,0
窠,穴,0
鸣,鸟,8
粤,米,12
圩,土,0
椭,木,12
侮,亻,9
挱,手,0
芰,艹,0
蒴,艹,0
家,宀,10
麸,麦,0
嶺,山,0
譁,口,0
乃,丿,2
赅,贝,10
揆,扌,12
蝉,虫,14
饍,月,0
屏,尸,9
翎,羽,0
燒,火,0
镕,钅,0
诖,讠,0
付,亻,5
扛,扌,6
跚,足,12
摟,扌,0
嫠,女,0
駢,马,0
峤,山,0
詫,讠,0
闪,门,5
棬,木,0
豯,豕,0
擴,扌,0
顷,页,8
役,彳,7
绸,纟,11
鉻,钅,0
兽,丷,11
鑿,凵,0
謀,讠,0
沅,氵,0
贄,贝,0
暉,日,0
蜈,虫,13
碍,石,13
餌,饣,0
錐,钅,0
倒,亻,10
锔,钅,0
氚,气,0
肝,月,7
骡,马,14
鲥,鱼,0
殫,歹,0
琪,王,12
涯,氵,11
踮,足,15
枳,木,9
騶,马,0
玻,王,9
鰺,魚,0
儼,亻,0
杈,木,0
獐,犭,0
韓,韦,0
哕,口,0
畔,田,10
滙,氵,0
惝,忄,0
靨,面,0
呪,口,0
湮,氵,0
英,艹,8
究,穴,7
黹,黹,0
叻,口,0
都,阝,10
百,白,6
笋,竹,10
喔,口,12
丙,一,5
澘,氵,0
茛,艹,0
憜,忄,0
蔟,艹,0
箠,木,0
尥,尢,0
鄧,阝,0
嘩,口,0
覬,见,0
亮,亠,9
莰,艹,0
薴,艹,0
縹,纟,0
醼,宀,0
詁,讠,0
佃,亻,7
棂,木,0
拆,扌,8
虉,艹,0
額,页,0
绎,纟,8
楗,木,0
論,讠,0
俘,亻,9
賚,贝,0
蛞,虫,0
飢,飠,0
照,灬,13
鋦,钅,0
譫,讠,0
铪,钅,0
饷,饣,0
幹,幹,0
偽,亻,0
燼,火,0
长,长,4
谀,讠,10
疑,匕,14
鐐,钅,0
園,囗,0
鈔,钅,0
缢,纟,13
甦,艹,0
沫,氵,8
猪,犭,11
纷,纟,7
汀,氵,5
橄,木,15
蛇,虫,11
鳋,鱼,0
忍,心,7
髏,骨,0
嗑,口,13
郓,阝,0
柝,木,0
虜,虍,0
緡,纟,0
鱠,月,0
形,彡,7
篥,竹,0
驤,马,0
啦,口,11
遨,辶,13
迭,辶,8
楮,木,0
杲,木,0
菵,艹,0
廷,廴,6
絶,纟,0
勿,勹,4
辂,车,0
昇,日,0
薆,艹,0
簋,竹,0
莊,广,0
馎,饣,0
咐,口,8
鞒,革,0
梘,木,0
舟,舟,6
阧,阝,0
漭,氵,0
躬,身,10
芴,艹,0
隼,隹,0
赁,贝,0
濂,氵,0
旆,方,0
屋,尸,9
镑,钅,0
偓,亻,0
跖,足,0
摛,扌,0
诚,讠,8
癧,疒,0
僨,亻,0
豫,豕,15
滬,氵,0
擰,扌,0
聳,耳,0
拴,扌,9
她,女,6
盼,目,9
鉿,钅,0
沁,氵,7
謄,言,0
悉,心,11
纍,糸,0
鼌,黽,0
锐,钅,12
侗,亻,0
氖,气,0
蚝,虫,10
鲡,鱼,0
妣,女,7
骥,马,0
垧,土,0
琦,王,12
涫,氵,0
爪,爪,4
殯,歹,0
蠮,虫,0
夸,大,6
逾,辶,12
蟇,虫,0
慈,心,13
罌,缶,0
哑,口,9
畐,辶,0
釓,钅,0
動,力,0
曝,日,19
蝜,虫,0
糡,米,0
鵠,鸟,0
幢,巾,15
童,立,12
呦,口,0
烩,火,0
剪,刀,11
桮,木,0
空,穴,8
灾,火,7
紋,纟,0
芊,艹,0
笏,竹,0
焓,火,0
榘,木,0
果,木,8
娥,女,10
霧,雨,0
倩,亻,10
熨,火,15
渭,氵,12
薰,艹,0
莴,艹,0
砹,石,0
傾,亻,0
豁,谷,17
滂,氵,13
嵋,山,0
拊,扌,0
孏,火,0
鑑,金,0
盒,"人
",11
鉕,钅,0
敛,攵,11
损,扌,10
胞,月,9
黢,黑,0
寤,宀,14
赫,赤,14
鋪,钅,0
濬,氵,0
譯,讠,0
旰,日,0
援,扌,12
齷,齿,0
塹,土,0
秸,禾,0
澁,氵,0
掉,扌,11
興,八,0
瞑,目,0
阐,门,11
途,辶,10
挞,扌,0
索,糸,10
馥,香,18
咧,口,0
眦,目,0
鎩,钅,0
梯,木,11
皻,鼻,0
餺,饣,0
吼,口,7
錾,金,0
桄,木,0
蓇,艹,0
扈,户,11
巍,山,20
籌,竹,0
飏,风,0
灔,氵,0
毙,比,10
詘,讠,0
葜,艹,0
翡,羽,14
坦,土,8
珩,王,0
仫,亻,0
敲,攴,14
祺,礻,0
闽,门,9
僿,土,0
獾,犭,0
趂,走,0
搇,扌,0
縋,纟,0
膊,月,14
岌,山,6
鮎,鱼,0
嚐,小,0
閒,门,0
谗,讠,0
纠,纟,5
夥,夕,0
鐧,钅,0
犨,牛,0
責,贝,0
朱,丿,6
蚰,虫,0
肴,月,8
骸,骨,15
钼,钅,0
草,艹,9
懊,忄,15
塏,土,0
痒,疒,11
汗,氵,6
觚,角,0
廠,厂,0
壤,土,20
韦,韦,4
曰,曰,4
艳,色,10
惴,忄,12
鱷,鱼,0
陻,土,0
啽,口,0
避,辶,16
梅,木,11
抉,扌,7
茈,艹,0
皑,白,11
吒,口,0
炕,火,8
鄔,阝,0
渖,氵,0
蒝,艹,0
戞,戈,0
宣,宀,9
颥,页,0
喧,口,12
瘦,疒,14
銩,钅,0
掳,扌,11
萲,艹,0
鸶,鸟,10
嬸,女,0
瞻,目,18
唼,口,0
鈾,钅,0
仁,亻,4
诃,讠,0
囑,口,0
睐,目,12
僕,亻,0
乖,丿,8
識,讠,0
绡,纟,0
齠,齿,0
噦,口,0
狩,犭,9
偪,辶,0
賭,贝,0
蛱,虫,0
胵,月,0
巷,巳,9
繶,糹,0
髹,髟,0
铽,钅,0
凿,凵,12
牾,牜,0
貂,豸,12
缋,纟,0
猓,犭,0
钒,钅,0
殘,歹,0
斜,斗,11
鬣,髟,0
利,刂,7
玨,王,0
昱,日,9
怵,忄,8
庶,广,11
稹,禾,0
墺,土,0
閼,门,0
劾,力,8
蹁,足,0
衅,血,0
艉,舟,0
惊,忄,11
奏,大,9
卓,十,8
瓒,王,0
違,辶,0
慟,忄,0
苞,艹,8
忠,心,8
鳢,鱼,0
畧,田,0
叨,口,5
轫,车,0
淬,氵,11
襯,衤,0
柰,木,0
篸,竹,0
命,人,8
痼,疒,0
酿,酉,14
退,辶,9
瞅,目,0
阄,门,0
綉,纟,0
鰈,鱼,0
弊,廾,14
舌,舌,6
蠐,虫,0
踔,足,0
焖,火,11
閙,门,0
眚,目,0
鮝,鱼,0
废,广,8
紞,糹,0
挢,扌,0
炫,火,9
漪,氵,14
刬,刂,0
键,钅,13
堰,土,12
粳,米,0
鬲,鬲,0
脶,月,0
贾,贝,10
铃,钅,10
癄,忄,0
巉,山,0
蛏,虫,0
桐,木,10
賓,宀,0
湔,氵,0
兖,亠,0
痙,疒,0
坚,土,7
篝,竹,16
查,木,9
淩,氵,0
豨,豕,0
佪,彳,0
囯,囗,0
畮,亠,0
駱,马,0
筲,竹,0
慶,广,0
藹,艹,0
诽,讠,0
仿,亻,6
傀,亻,11
球,王,11
鎂,钅,0
馆,饣,11
岈,山,0
龊,齿,0
昏,日,8
氓,氏,0
讒,讠,0
五,一,4
窜,穴,12
鸟,鸟,5
悠,心,11
沨,氵,0
銬,钅,0
單,十,0
礱,石,0
缵,纟,0
麴,麥,0
改,已,7
蒸,艹,13
欽,钅,0
誼,讠,0
呃,口,7
珂,王,0
秆,禾,8
翊,羽,0
旎,方,0
毒,母,9
嫜,女,0
繟,糹,0
摣,扌,0
菢,艹,0
触,角,13
迪,辶,8
独,犭,9
维,纟,11
艷,色,0
蹿,足,0
炁,灬,0
鄀,阝,0
霄,雨,15
堆,土,11
粉,米,10
茌,艹,0
褐,衤,14
輔,车,0
瀖,氵,0
钙,钅,0
骝,马,0
簞,竹,0
股,月,8
戢,戈,0
販,贝,0
鐮,钅,0
綳,纟,0
掷,扌,11
耶,耳,8
榻,木,14
蘺,艹,0
闃,门,0
囅,丷,0
鯇,鱼,0
臋,月,0
捌,扌,10
仕,亻,5
潔,氵,0
镘,钅,0
竝,干,0
属,尸,12
惡,心,0
腠,月,0
蝤,虫,0
凫,几,0
鋭,钅,0
埯,土,0
飱,飠,0
巳,巳,3
恶,心,10
智,日,12
汾,氵,0
冀,八,16
垄,土,8
领,页,11
蒎,艹,0
誒,讠,0
侔,亻,0
疘,月,0
餛,饣,0
箜,竹,0
蔣,艹,0
涨,氵,10
爭,刀,0
鎬,钅,0
媲,女,13
縵,纟,0
樽,木,0
讼,讠,6
遁,辶,12
啃,口,11
狂,犭,7
际,阝,7
鱉,鱼,0
绊,纟,8
擎,手,16
蹕,足,0
獗,犭,15
郖,阝,0
祛,礻,0
罟,罒,0
鳞,鱼,20
散,攵,12
歧,止,8
称,禾,10
幵,干,0
荷,艹,10
旸,日,0
襻,衤,0
轿,车,10
玁,犭,0
鈀,钅,0
儂,亻,0
而,而,6
訐,讠,0
涕,氵,10
谔,讠,0
猖,犭,11
媛,女,0
甚,一,9
馝,香,0
辩,辛,16
洪,氵,9
倬,亻,0
纳,纟,7
餲,飠,0
尴,尢,13
茶,艹,9
檻,木,0
蔺,艹,14
沿,氵,8
輾,车,0
叁,厶,0
牀,广,0
嗅,口,13
忉,忄,0
苋,艹,0
橐,木,0
汔,氵,0
卖,十,8
陘,阝,0
握,扌,12
日,日,4
葤,艹,0
廳,厂,0
捶,扌,0
蟹,虫,19
瘃,疒,0
咄,口,8
戋,戈,0
搏,扌,13
逗,辶,10
碜,石,0
鰟,魚,0
抠,扌,7
撤,扌,15
蠧,虫,0
邬,阝,0
垮,土,9
笱,竹,0
骰,骨,0
妲,女,0
鲴,鱼,16
朹,木,0
椽,木,0
袼,衤,0
鍁,钅,0
镅,钅,0
篆,竹,0
緊,糸,0
乓,丿,6
赕,贝,0
鏖,金,0
闚,穴,0
籟,竹,0
桧,木,10
详,讠,8
仨,亻,0
跪,足,13
六,"亠
",4
烬,火,0
孱,子,0
鹳,鸟,22
糴,米,0
職,耳,0
書,乛,0
棼,木,0
犁,牛,11
锄,钅,12
娆,女,0
尊,寸,12
悍,忄,10
檑,木,0
謐,讠,0
冗,冖,0
隙,阝,12
宛,宀,8
琚,王,0
额,页,15
芡,艹,7
玫,王,8
氪,气,0
疯,疒,9
阮,阝,6
嬰,女,0
崴,山,0
憷,忄,0
舶,舟,0
殻,士,0
涿,氵,0
勁,力,0
韃,革,0
哅,讠,0
廉,广,13
慌,忄,12
藏,艹,17
迓,辶,0
浔,氵,0
剖,刂,10
幞,巾,0
荠,艹,0
擥,扌,0
蕤,艹,0
滩,氵,13
轨,车,6
叫,口,5
郭,阝,0
嗯,口,13
癮,疒,0
扶,扌,7
蛹,虫,13
摺,扌,0
湾,氵,12
邂,辶,16
善,口,12
骆,马,9
很,彳,9
攏,扌,0
漓,氵,13
袒,衤,10
瞘,目,0
堝,土,0
鴟,鸟,0
掠,扌,11
蜣,虫,0
斤,斤,4
醬,酉,0
稱,禾,0
鶴,鸟,0
栽,木,10
烂,火,9
奇,大,8
鹉,鸟,13
糊,米,15
聍,耳,0
体,亻,7
棒,木,12
豕,豕,0
煗,日,0
筛,竹,12
姜,女,9
點,灬,0
諦,讠,0
俨,亻,9
質,贝,0
镯,钅,18
篰,竹,0
練,纟,0
腷,月,0
槼,见,0
玅,女,0
鈄,钅,0
崆,山,0
須,页,0
涑,氵,0
谐,讠,11
甖,缶,0
岛,山,7
礞,石,0
朢,月,0
产,立,6
覩,目,0
嘬,口,0
犯,犭,5
碳,石,14
娴,女,10
治,氵,8
茺,艹,0
褾,衤,0
嗁,口,0
郃,阝,0
姉,女,0
蓋,皿,0
晌,日,10
苏,艹,7
汐,氵,6
啖,口,0
燙,火,0
遘,辶,0
博,十,12
鹜,鸟,0
艤,舟,0
槩,木,0
表,一,8
韭,韭,9
煮,灬,12
壳,士,7
署,罒,13
鯵,魚,0
捺,扌,11
追,辶,9
咀,口,8
搋,扌,0
鮊,鱼,0
戏,戈,6
栓,木,10
阗,门,13
弝,弓,0
纜,纟,0
护,扌,7
梨,木,11
眭,目,0
紱,纟,0
鲰,鱼,0
骴,骨,0
漽,氵,0
镁,钅,0
偃,亻,0
饉,饣,0
赑,贝,0
濒,氵,16
闖,门,0
恣,心,10
湧,氵,0
鑫,金,0
坭,土,0
顳,页,0
孵,爫,14
佽,亻,0
詿,讠,0
璁,王,0
销,钅,12
将,丬,9
碉,石,0
餈,米,0
贐,贝,0
謔,讠,0
琖,皿,0
邙,阝,0
麝,鹿,0
蒡,艹,0
芥,艹,7
侧,亻,8
氦,气,0
疫,疒,9
横,木,15
圬,土,0
环,王,8
逮,辶,11
禳,礻,0
鸲,鸟,0
嬴,女,0
枷,木,9
似,亻,6
殿,殳,13
蠾,虫,0
品,口,9
畀,田,0
釃,酉,0
勅,攵,0
獄,犭,0
祈,礻,8
藋,艹,0
杌,木,0
菏,艹,0
浐,氵,0
呖,口,0
烙,火,10
绝,纟,9
齜,齿,0
塞,土,13
擡,扌,0
拥,扌,8
荤,艹,0
嗫,口,13
可,口,5
摶,扌,0
喀,口,12
隂,阝,0
厄,厂,4
缇,纟,0
鲆,鱼,0
妈,女,6
骊,马,10
肎,月,0
躒,足,0
候,亻,10
熘,火,0
鴛,鸟,0
帝,巾,9
鬟,髟,23
脣,口,0
榨,木,14
瘭,疒,0
元,一,4
盂,皿,8
鉅,釒,0
竊,穴,0
評,讠,0
铖,钅,0
絛,纟,0
飞,飞,3
慣,忄,0
賦,贝,0
镫,钅,0
矬,矢,0
山,山,3
婵,女,0
懸,心,0
濼,氵,0
阀,门,0
逄,辶,0
萌,艹,11
踐,足,0
榕,木,14
蠔,虫,0
焚,火,12
墟,土,14
笞,竹,0
漦,水,0
让,讠,5
听,口,7
炯,火,9
錮,钅,0
窳,穴,0
場,土,0
撷,扌,0
溻,氵,0
謾,讠,0
癀,疒,0
鋃,钅,0
灄,氵,0
鳇,鱼,0
蛋,虫,11
俑,亻,9
桔,木,10
珙,王,0
党,儿,10
緝,纟,0
聤,耳,0
囫,囗,7
闭,门,6
絲,一,0
菹,艹,0
任,亻,6
跽,足,0
嚀,口,0
閂,门,0
簇,竹,17
